ihp_cluster,COUNT(so.image_id)
0,0
1,1880
2,860
3,390
4,6014
5,1744
6,3832
7,2789
8,3214
9,1368
10,2375
11,3290
12,1547
13,487
14,806
15,1914
16,288
17,2551
18,2203
19,1960
20,3127
21,3226
22,928
23,265
24,547
25,5042
26,81
27,1669
28,3368
29,1782
30,969
31,1312
32,168
33,391
34,76
35,837
36,1047
37,4373
38,2485
39,948
40,5772
41,1943
42,418
43,903
44,3330
45,2046
46,3770
47,317
48,950
49,2588
50,3639
51,3673
52,303
53,3725
54,163
55,3324
56,61
57,745
58,1013
59,3505
60,1575
61,108
62,1730
63,2685
64,214
65,6349
66,200
67,3662
68,1233
69,908
70,175
71,3627
72,1243
73,2283
74,3179
75,487
76,544
77,793
78,3292
79,999
80,735
81,539
82,3807
83,443
84,1990
85,1594
86,2582
87,696
88,84
89,1910
90,516
91,1468
92,807
93,288
94,2525
95,769
96,75
97,1940
98,687
99,270
100,2607
101,6886
102,928
103,318
104,786
105,941
106,1250
107,740
108,3538
109,1103
110,727
111,852
112,470
113,3584
114,393
115,3566
116,514
117,1083
118,257
119,515
120,255
121,2268
122,2806
123,3244
124,3860
125,211
126,108
127,339
128,476
129,509
130,2153
131,187
132,397
133,123
134,1129
135,360
136,483
137,3870
138,114
139,494
140,5769
141,393
142,1026
143,306
144,637
145,2035
146,655
147,623
148,1637
149,1247
150,2126
151,627
152,295
153,2076
154,237
155,368
156,2273
157,92
158,1459
159,2071
160,477
161,343
162,3242
163,447
164,555
165,61
166,774
167,2212
168,9663
169,997
170,4006
171,2128
172,1644
173,1482
174,3653
175,1802
176,439
177,381
178,2287
179,955
180,4636
181,2416
182,544
183,1801
184,11955
185,464
186,2446
187,2795
188,2711
189,48
190,2993
191,2437
192,1124
193,1173
194,296
195,172
196,1112
197,157
198,456
199,2132
200,259
201,1329
202,1351
203,608
204,250
205,2149
206,1213
207,270
208,4854
209,1315
210,808
211,516
212,2438
213,348
214,266
215,4219
216,6722
217,665
218,2012
219,1134
220,1626
221,3005
222,417
223,145
224,589
225,929
226,291
227,2289
228,529
229,9697
230,412
231,1405
232,1726
233,1656
234,690
235,3900
236,1886
237,1292
238,1299
239,288
240,3622
241,1844
242,1535
243,629
244,1408
245,1325
246,420
247,1872
248,3293
249,382
250,433
251,3238
252,2857
253,622
254,972
255,377
256,3204
257,1610
258,2081
259,1662
260,563
261,1651
262,647
263,732
264,927
265,1474
266,416
267,1254
268,1687
269,1194
270,3848
271,820
272,2486
273,4628
274,753
275,1519
276,661
277,3068
278,929
279,481
280,214
281,3988
282,543
283,2055
284,599
285,274
286,329
287,904
288,2884
289,129
290,536
291,264
292,1557
293,1511
294,92
295,1631
296,1584
297,820
298,1072
299,2689
300,3330
301,174
302,5598
303,901
304,1527
305,1891
306,6457
307,271
308,1129
309,552
310,2362
311,1007
312,863
313,487
314,2424
315,854
316,2101
317,799
318,2034
319,932
320,1281
321,211
322,4394
323,1200
324,3001
325,227
326,64
327,620
328,409
329,1538
330,2925
331,4458
332,2069
333,990
334,417
335,219
336,428
337,564
338,90
339,508
340,4754
341,1535
342,2520
343,661
344,1169
345,870
346,18
347,766
348,133
349,915
350,1856
351,1114
352,3373
353,1383
354,2615
355,483
356,299
357,2833
358,1397
359,548
360,222
361,1214
362,315
363,393
364,4324
365,3461
366,281
367,402
368,362
369,259
370,914
371,1263
372,1559
373,1041
374,1319
375,182
376,383
377,2469
378,1979
379,392
380,2091
381,4016
382,515
383,1170
384,20
385,79
386,459
387,2087
388,491
389,437
390,2450
391,3232
392,1309
393,1263
394,176
395,2735
396,5103
397,1536
398,2416
399,1441
400,96
401,4427
402,2710
403,16
404,1205
405,883
406,1400
407,3320
408,117
409,93
410,2612
411,186
412,1222
413,15
414,463
415,570
416,929
417,204
418,271
419,494
420,1596
421,15
422,1146
423,2057
424,3411
425,2731
426,2955
427,927
428,563
429,1147
430,1469
431,120
432,342
433,437
434,341
435,685
436,1610
437,419
438,724
439,486
440,239
441,347
442,385
443,2352
444,1428
445,3131
446,6621
447,3675
448,6824
449,2295
450,721
451,940
452,1319
453,4189
454,1592
455,114
456,2655
457,2921
458,103
459,740
460,454
461,959
462,1158
463,270
464,4722
465,2252
466,2208
467,567
468,22
469,2540
470,4408
471,1712
472,902
473,1803
474,288
475,104
476,2316
477,1579
478,910
479,1006
480,331
481,2284
482,3455
483,2291
484,1610
485,2435
486,675
487,1456
488,2079
489,360
490,3934
491,429
492,175
493,1228
494,1777
495,2454
496,168
497,436
498,650
499,1303
500,1825
501,2026
502,645
503,81
504,1386
505,5219
506,302
507,1382
508,1077
509,1589
510,376
511,461
1026,2099
